dataset,category,defect_type,split,label,image_path,mask_path,image_width,image_height,image_area_pixels,defect_area_pixels,defect_area_ratio,defect_area_percent_of_full_image
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\014.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\014.png,1284,1168,1499712,2818,0.0018790274399351342,0.18790274399351342
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\015.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\015.png,1284,1168,1499712,1736,0.0011575555840054625,0.11575555840054624
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\016.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\016.png,1284,1168,1499712,1066,0.0007108031408697137,0.07108031408697137
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\017.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\017.png,1284,1168,1499712,2784,0.0018563564204327231,0.18563564204327232
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\018.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\018.png,1284,1168,1499712,3321,0.0022144251696325696,0.22144251696325695
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\019.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\019.png,1284,1168,1499712,3024,0.002016387146332096,0.2016387146332096
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\020.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\020.png,1284,1168,1499712,415,0.00027671979686766526,0.027671979686766525
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\021.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\021.png,1284,1168,1499712,2722,0.0018150151495753852,0.18150151495753852
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\022.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\022.png,1284,1168,1499712,1969,0.0013129187470661034,0.13129187470661033
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\023.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\023.png,1284,1168,1499712,3705,0.002470474331071566,0.24704743310715657
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\024.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\024.png,1284,1168,1499712,1830,0.0012202342849827166,0.12202342849827166
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\025.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\025.png,1284,1168,1499712,2068,0.0013789314214995947,0.13789314214995946
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\026.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\026.png,1284,1168,1499712,2858,0.0019056992275850297,0.19056992275850296
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\027.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\027.png,1284,1168,1499712,979,0.000652792002731191,0.0652792002731191
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\028.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\028.png,1284,1168,1499712,989,0.000659459949643665,0.0659459949643665
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\029.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\029.png,1284,1168,1499712,1752,0.0011682242990654205,0.11682242990654204
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\030.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\030.png,1284,1168,1499712,6755,0.004504198139376093,0.4504198139376093
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\031.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\031.png,1284,1168,1499712,2366,0.0015776362394913158,0.15776362394913157
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\032.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\032.png,1284,1168,1499712,930,0.0006201190628600692,0.06201190628600692
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\033.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\033.png,1284,1168,1499712,2400,0.0016003072589937269,0.1600307258993727
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\034.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\034.png,1284,1168,1499712,3702,0.0024684739469978236,0.24684739469978237
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\035.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\035.png,1284,1168,1499712,2230,0.001486952161481671,0.1486952161481671
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\036.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\036.png,1284,1168,1499712,1865,0.001243572099176375,0.1243572099176375
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\037.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\037.png,1284,1168,1499712,1469,0.0009795214014424103,0.09795214014424103
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\038.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\038.png,1284,1168,1499712,1949,0.0012995828532411555,0.12995828532411555
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\039.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\039.png,1284,1168,1499712,3579,0.0023864581999743953,0.23864581999743953
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\040.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\040.png,1284,1168,1499712,163,0.00010868753467332395,0.010868753467332395
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\041.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\041.png,1284,1168,1499712,480,0.00032006145179874534,0.03200614517987453
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\042.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\042.png,1284,1168,1499712,187,0.00012469060726326122,0.012469060726326121
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\043.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\043.png,1284,1168,1499712,111,7.401421072845987e-05,0.007401421072845987
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\044.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\044.png,1284,1168,1499712,140,9.335125677463406e-05,0.009335125677463406
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\045.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\045.png,1284,1168,1499712,70,4.667562838731703e-05,0.004667562838731703
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\046.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\046.png,1284,1168,1499712,107,7.134703196347032e-05,0.007134703196347032
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\047.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\047.png,1284,1168,1499712,52,3.467332394486408e-05,0.003467332394486408
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\048.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\048.png,1284,1168,1499712,54,3.600691332735885e-05,0.0036006913327358853
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\049.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\049.png,1284,1168,1499712,130,8.66833098621602e-05,0.00866833098621602
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\050.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\050.png,1284,1168,1499712,2761,0.0018410201425340333,0.18410201425340333
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\051.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\051.png,1284,1168,1499712,88,5.8677932829769986e-05,0.005867793282976998
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\052.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\052.png,1284,1168,1499712,124,8.268254171467589e-05,0.00826825417146759
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\053.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\053.png,1284,1168,1499712,1686,0.0011242158494430931,0.11242158494430932
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\054.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\054.png,1284,1168,1499712,62,4.1341270857337945e-05,0.004134127085733795
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\055.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\055.png,1284,1168,1499712,141,9.401805146588145e-05,0.009401805146588145
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\056.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\056.png,1284,1168,1499712,44,2.9338966414884993e-05,0.002933896641488499
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\057.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\057.png,1284,1168,1499712,151,0.0001006859983783553,0.010068599837835531
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\058.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\058.png,1284,1168,1499712,37,2.467140357615329e-05,0.002467140357615329
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\059.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\059.png,1284,1168,1499712,30,2.0003840737421584e-05,0.0020003840737421582
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\060.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\060.png,1284,1168,1499712,4459,0.002973237528272095,0.2973237528272095
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\061.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\061.png,1284,1168,1499712,7928,0.005286348312209277,0.5286348312209277
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\062.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\062.png,1284,1168,1499712,5799,0.0038667424145435924,0.38667424145435925
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\063.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\063.png,1284,1168,1499712,10834,0.007224053684974182,0.7224053684974182
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\064.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\064.png,1284,1168,1499712,6866,0.004578212350104554,0.45782123501045535
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\065.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\065.png,1284,1168,1499712,6580,0.004387509068407801,0.43875090684078005
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\066.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\066.png,1284,1168,1499712,13415,0.008945050783083686,0.8945050783083686
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\067.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\067.png,1284,1168,1499712,17811,0.011876280245807195,1.1876280245807196
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\068.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\068.png,1284,1168,1499712,22677,0.015120903213416977,1.5120903213416976
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\069.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\069.png,1284,1168,1499712,10162,0.006775967652455938,0.6775967652455939
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\070.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\070.png,1284,1168,1499712,1765,0.0011768926300516366,0.11768926300516366
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\071.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\071.png,1284,1168,1499712,913,0.0006087835531088636,0.06087835531088636
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\072.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\072.png,1284,1168,1499712,1318,0.000878835403064055,0.08788354030640551
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\073.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\073.png,1284,1168,1499712,440,0.0002933896641488499,0.029338966414884992
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\074.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\074.png,1284,1168,1499712,3427,0.0022851054069047924,0.22851054069047924
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\075.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\075.png,1284,1168,1499712,736,0.0004907608927580763,0.04907608927580762
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\076.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\076.png,1284,1168,1499712,987,0.0006581263602611702,0.06581263602611702
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\077.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\077.png,1284,1168,1499712,1406,0.000937513335893825,0.0937513335893825
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\078.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\078.png,1284,1168,1499712,1112,0.0007414756966670934,0.07414756966670934
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\079.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\079.png,1284,1168,1499712,2237,0.001491619724320403,0.1491619724320403
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\080.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\080.png,1284,1168,1499712,1280,0.0008534972047966543,0.08534972047966542
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\081.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\081.png,1284,1168,1499712,3088,0.0020590620065719283,0.20590620065719284
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\082.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\082.png,1284,1168,1499712,1418,0.0009455148721887936,0.09455148721887936
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\083.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\083.png,1284,1168,1499712,1341,0.0008941716809627449,0.0894171680962745
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\084.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\084.png,1284,1168,1499712,1290,0.0008601651517091282,0.08601651517091281
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\085.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\085.png,1284,1168,1499712,7973,0.00531635407331541,0.531635407331541
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\086.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\086.png,1284,1168,1499712,10835,0.007224720479665429,0.722472047966543
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\087.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\087.png,1284,1168,1499712,4058,0.002705852857081893,0.2705852857081893
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\088.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\088.png,1284,1168,1499712,13050,0.00870167072077839,0.8701670720778389
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\089.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\089.png,1284,1168,1499712,12007,0.008006203857807365,0.8006203857807365
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\090.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\090.png,1284,1168,1499712,6968,0.004646225408611787,0.4646225408611787
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\091.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\091.png,1284,1168,1499712,21517,0.014347421371570008,1.4347421371570008
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\092.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\092.png,1284,1168,1499712,4454,0.002969903554815858,0.2969903554815858
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\093.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\093.png,1284,1168,1499712,3733,0.0024891445824264924,0.24891445824264924
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\094.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\094.png,1284,1168,1499712,20344,0.013565271198736824,1.3565271198736824
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\095.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\095.png,1284,1168,1499712,3573,0.0023824574318269108,0.23824574318269107
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\096.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\096.png,1284,1168,1499712,3223,0.0021490792898903256,0.21490792898903258
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\097.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\097.png,1284,1168,1499712,23411,0.015610330516792557,1.5610330516792557
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\098.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\098.png,1284,1168,1499712,18387,0.01226035398796569,1.226035398796569
VisA,candle,anomaly,test,anomaly,D:\patchcore\data\VisA\candle\Data\Images\Anomaly\099.JPG,D:\patchcore\data\VisA\candle\Data\Masks\Anomaly\099.png,1284,1168,1499712,5593,0.003729382708146631,0.3729382708146631
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\000.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\000.png,1500,1000,1500000,837,0.000558,0.0558
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\001.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\001.png,1500,1000,1500000,1067,0.0007113333333333333,0.07113333333333334
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\002.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\002.png,1500,1000,1500000,2065,0.0013766666666666667,0.13766666666666666
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\003.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\003.png,1500,1000,1500000,2472,0.001648,0.1648
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\004.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\004.png,1500,1000,1500000,1187,0.0007913333333333333,0.07913333333333333
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\005.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\005.png,1500,1000,1500000,842,0.0005613333333333333,0.05613333333333333
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\006.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\006.png,1500,1000,1500000,2357,0.0015713333333333334,0.15713333333333335
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\007.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\007.png,1500,1000,1500000,861,0.000574,0.0574
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\008.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\008.png,1500,1000,1500000,911,0.0006073333333333333,0.060733333333333334
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\009.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\009.png,1500,1000,1500000,2242,0.0014946666666666667,0.14946666666666666
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\010.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\010.png,1500,1000,1500000,2647,0.0017646666666666668,0.1764666666666667
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\011.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\011.png,1500,1000,1500000,2716,0.0018106666666666666,0.18106666666666665
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\012.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\012.png,1500,1000,1500000,1987,0.0013246666666666667,0.13246666666666668
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\013.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\013.png,1500,1000,1500000,2080,0.0013866666666666667,0.13866666666666666
VisA,capsules,anomaly,test,anomaly,D:\patchcore\data\VisA\capsules\Data\Images\Anomaly\014.JPG,D:\patchcore\data\VisA\capsules\Data\Masks\Anomaly\014.png,1500,1000,1500000,1703,0.0011353333333333332,0.11353333333333332
